日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2019-01-03,1439079,62055824,42.9,43.3,42.7,43.2,0.35,753
2019-01-04,2178371,94143137,42.8,43.55,42.7,43.25,0.05,869
2019-01-07,1537618,66884798,43.5,43.65,43.4,43.6,0.35,811
2019-01-08,2344254,102932293,43.65,44.15,43.45,44.0,0.4,1264
2019-01-09,2421930,106938908,44.2,44.35,44.0,44.0, 0.00,1299
2019-01-10,2561597,112706463,43.95,44.3,43.7,44.15,0.15,1381
2019-01-11,1734608,76509721,44.1,44.25,44.0,44.05,-0.1,906
2019-01-14,2316655,102434388,43.8,44.5,43.8,44.4,0.35,1268
2019-01-15,1847301,82237661,44.4,44.7,44.2,44.7,0.3,1149
2019-01-16,1989712,88360722,44.7,44.7,44.05,44.45,-0.25,1280
2019-01-17,1089611,48149712,44.5,44.6,44.0,44.1,-0.35,662
2019-01-18,930856,41004821,44.1,44.25,43.9,44.2,0.1,618
2019-01-21,958447,42305447,44.2,44.3,44.0,44.2, 0.00,672
2019-01-22,1699034,74627646,44.2,44.2,43.8,43.9,-0.3,1173
2019-01-23,1908545,83688439,43.9,44.05,43.7,43.95,0.05,1384
2019-01-24,2338281,102814566,43.9,44.4,43.8,44.05,0.1,1345
2019-01-25,3483760,152402737,44.2,44.2,43.6,43.65,-0.4,2030
2019-01-28,3428148,148657302,43.65,43.75,43.25,43.35,-0.3,2607
2019-01-29,3012492,129723097,43.35,43.4,42.9,43.4,0.05,2037
2019-01-30,2447423,105704718,43.25,43.35,43.1,43.35,-0.05,1325
2019-02-11,1969011,85191259,43.4,43.45,43.1,43.25,-0.1,1180
2019-02-12,2853506,125044807,43.25,44.05,43.15,43.95,0.7,1749
2019-02-13,3783832,167877956,44.05,44.7,44.0,44.35,0.4,2491
2019-02-14,2727898,121329585,44.35,44.6,44.15,44.5,0.15,1993
2019-02-15,2404799,106955745,44.5,44.6,44.3,44.5, 0.00,2011
2019-02-18,5219130,235692589,44.8,45.5,44.8,45.3,0.8,2882
2019-02-19,3153049,143012001,45.4,45.75,45.0,45.35,0.05,1734
2019-02-20,1890954,85542315,45.3,45.35,45.05,45.15,-0.2,1127
2019-02-21,2333570,105392092,45.2,45.35,45.0,45.2,0.05,1479
2019-02-22,2413175,108632778,45.2,45.25,44.95,45.0,-0.2,1650
2019-02-25,3027058,136945818,45.1,45.65,44.85,45.45,0.45,2083
2019-02-26,1588128,71990043,45.35,45.5,45.0,45.4,-0.05,1220
2019-02-27,2000926,90158499,45.4,45.4,44.95,45.0,-0.4,1367
2019-03-04,2455676,110960786,45.2,45.35,45.0,45.2,0.2,1592
2019-03-05,894560,40357474,45.15,45.25,45.05,45.1,-0.1,579
2019-03-06,1774964,79861530,45.1,45.15,44.85,44.85,-0.25,887
2019-03-07,1759300,79217136,44.8,45.2,44.75,45.15,0.3,1392
2019-03-08,1840655,83347171,45.15,45.45,45.0,45.25,0.1,1099
2019-03-11,6457870,298969111,45.4,47.4,45.4,46.1,0.85,3365
2019-03-12,3982234,184851544,46.35,46.75,46.05,46.6,0.5,2385
2019-03-13,6083598,277833808,46.3,46.3,45.5,45.6,-1.0,3307
2019-03-14,4447715,200872001,45.35,45.4,45.0,45.1,-0.5,2549
2019-03-15,4677224,210773998,45.05,45.35,44.8,45.35,0.25,1920
2019-03-18,1777096,80154315,45.4,45.4,44.9,45.1,-0.25,914
2019-03-19,1751113,79206457,45.25,45.4,45.1,45.25,0.15,1191
2019-03-20,1704353,77581825,45.3,45.7,45.25,45.65,0.4,1155
2019-03-21,2052342,94060682,45.75,46.0,45.5,45.9,0.25,1190
2019-03-22,2285202,104786792,46.0,46.1,45.6,45.9, 0.00,1270
2019-03-25,3631614,165820676,45.5,45.95,45.25,45.85,-0.05,1169
2019-03-26,2374025,109425453,45.9,46.35,45.75,46.25,0.4,1138
2019-03-27,1490082,68596467,46.25,46.25,45.85,46.05,-0.2,852
2019-03-28,2123143,98027078,46.15,46.55,45.9,46.05, 0.00,980
2019-03-29,2378163,109673824,46.1,46.3,46.0,46.1,0.05,1062
2019-04-01,2309430,107097246,46.5,46.6,46.15,46.45,0.35,1343
2019-04-02,2856209,132366012,46.5,46.6,46.15,46.3,-0.15,1523
2019-04-03,4358057,199843324,46.25,46.3,45.65,45.85,-0.45,1689
2019-04-08,3382608,153860752,45.85,45.85,45.35,45.4,-0.45,1653
2019-04-09,1916311,87168749,45.45,45.65,45.4,45.5,0.1,866
2019-04-10,2650561,120581306,45.5,45.85,45.35,45.85,0.35,1099
2019-04-11,2550119,115726655,45.65,45.7,45.2,45.35,-0.5,1095
2019-04-12,2583684,116345948,45.4,45.4,44.9,45.0,-0.35,1064
2019-04-15,2080255,93493558,45.1,45.15,44.8,44.95,-0.05,991
2019-04-16,1625782,73223603,45.0,45.2,44.95,45.2,0.25,875
2019-04-17,2465189,110969515,45.25,45.3,44.9,45.05,-0.15,1087
2019-04-18,2718972,122037888,45.05,45.15,44.8,44.8,-0.25,1063
2019-04-19,1264981,56685343,45.0,45.0,44.75,44.8, 0.00,707
2019-04-22,864478,38897478,44.85,45.2,44.85,45.0,0.2,505
2019-04-23,1769734,79406424,45.1,45.25,44.7,44.95,-0.05,922
2019-04-24,1789854,80115241,45.05,45.1,44.7,44.75,-0.2,905
2019-04-25,1920983,85723328,44.7,44.8,44.5,44.75, 0.00,1069
2019-04-26,1606816,71740920,44.8,44.9,44.5,44.75, 0.00,804
2019-04-29,2484991,111848986,44.7,45.3,44.7,45.1,0.35,1547
2019-04-30,1214057,54635625,45.2,45.2,44.95,44.95,-0.15,646
2019-05-02,1120201,50482331,45.0,45.15,44.95,45.15,0.2,592
2019-05-03,1492613,67632787,45.1,45.5,45.05,45.4,0.25,1049
2019-05-06,1377101,62016544,45.3,45.3,44.9,45.0,-0.4,754
2019-05-07,1113775,50130864,45.2,45.2,44.95,45.0, 0.00,546
2019-05-08,1926777,86972661,44.9,45.5,44.75,45.5,0.5,1186
2019-05-09,1363170,61602130,45.4,45.5,45.0,45.1,-0.4,790
2019-05-10,2240088,101889106,45.1,45.7,45.1,45.45,0.35,1467
2019-05-13,4301198,197543353,45.55,46.1,45.55,45.95,0.5,2263
2019-05-14,3936210,181112924,45.6,46.3,45.3,46.3,0.35,2272
2019-05-15,2788463,129037165,46.35,46.45,46.0,46.0,-0.3,1335
2019-05-16,3447268,159891707,46.1,46.5,46.0,46.45,0.45,1757
2019-05-17,9748036,460098788,46.6,47.7,46.6,47.0,0.55,4650
2019-05-20,10703286,514330221,47.3,49.0,47.25,48.2,1.2,5114
2019-05-21,6159137,297626755,48.5,48.7,47.9,48.2, 0.00,3223
2019-05-22,3939684,190462415,48.2,48.6,48.0,48.3,0.1,1699
2019-05-23,3522877,169917717,48.3,48.5,47.85,48.1,-0.2,1727
2019-05-24,5761702,282235748,48.2,49.45,48.2,48.85,0.75,3255
2019-05-27,10224142,510022354,49.1,50.8,49.1,50.5,1.65,4914
2019-05-28,14321598,726405828,51.1,51.7,49.8,50.4,-0.1,8270
2019-05-29,9264011,467057300,50.6,51.3,49.8,49.85,-0.55,4865
2019-05-30,8164586,403649067,50.0,50.4,49.0,49.4,-0.45,4557
2019-05-31,4830198,239845604,49.5,49.95,49.15,49.9,0.5,2905
2019-06-03,5752523,287759750,50.2,50.7,49.6,49.75,-0.15,3444
2019-06-04,3693568,181756796,49.65,49.75,48.95,49.35,-0.4,2002
2019-06-05,2097634,103436847,49.55,49.8,49.1,49.2,-0.15,1223
2019-06-06,6584721,319251138,49.05,49.1,48.2,48.25,-0.95,3191
2019-06-10,3777483,182584968,48.1,48.5,48.1,48.3,0.05,1870
2019-06-11,10989094,524012606,48.5,48.9,47.3,47.4,-0.9,4213
2019-06-12,5673920,270411374,47.6,48.25,47.15,48.2,0.8,3584
2019-06-13,4299960,204311321,48.1,48.1,47.3,47.45,-0.75,2698
2019-06-14,4555829,214947528,47.5,47.65,47.05,47.15,-0.3,2760
2019-06-17,4797075,226078695,47.4,47.4,46.95,47.15, 0.00,3319
2019-06-18,4981880,235501777,46.95,47.8,46.95,47.8,0.65,3101
2019-06-19,6642789,315647136,48.0,48.1,47.2,47.5,-0.3,3590
2019-06-20,6333283,298338531,47.4,47.5,46.95,47.1,-0.4,3542
2019-06-21,4318808,204994460,47.15,47.75,47.15,47.4,0.3,2103
2019-06-24,3767410,180334469,47.45,48.0,47.45,47.9,0.5,2569
2019-06-25,3315951,158724852,47.9,48.1,47.55,47.7,-0.2,1802
2019-06-26,1987608,95081384,47.65,47.95,47.55,47.85,0.15,1250
2019-06-27,3194588,152637738,47.95,47.95,47.6,47.85, 0.00,1780
2019-06-28,1719939,81955373,47.85,47.85,47.55,47.75,-0.1,732
2019-07-01,2399081,114670425,47.75,47.95,47.55,47.75, 0.00,1805
2019-07-02,5538314,261436694,47.7,47.7,47.0,47.3,-0.45,2886
2019-07-03,2756171,129375116,47.05,47.15,46.8,47.05,-0.25,1603
2019-07-04,2587540,122483298,47.05,47.6,46.95,47.5,0.45,1919
2019-07-05,3883550,186382623,47.65,48.2,47.55,48.15,0.65,2221
2019-07-08,3339122,160597512,48.15,48.4,47.8,48.15, 0.00,2064
2019-07-09,1867885,89780758,48.2,48.2,47.9,48.0,-0.15,1335
2019-07-10,2340919,113013629,48.0,48.45,48.0,48.2,0.2,1705
2019-07-11,2400470,114787150,48.15,48.15,47.7,47.75,-0.45,1626
2019-07-12,1566500,74894397,47.75,48.0,47.55,47.95,0.2,1236
2019-07-15,2176705,104269538,47.9,48.1,47.6,48.05,0.1,1488
2019-07-16,997534,47922167,48.1,48.1,47.95,48.1,0.05,718
2019-07-17,1527722,73068556,48.1,48.1,47.7,47.85,-0.25,834
2019-07-18,1182388,56405876,47.95,47.95,47.6,47.75,-0.1,580
2019-07-19,1155791,55135845,47.9,47.9,47.6,47.7,-0.05,601
2019-07-22,1269777,60574426,47.75,47.8,47.6,47.7, 0.00,699
2019-07-23,1372639,65737228,47.75,48.0,47.75,47.95,0.25,762
2019-07-24,5313170,258659669,48.05,49.1,48.05,48.7,0.75,3014
2019-07-25,3308637,161674716,48.7,49.15,48.65,48.7, 0.00,2392
2019-07-26,1660853,80542315,48.7,48.7,48.3,48.5,-0.2,1065
2019-07-29,1675588,80804458,48.5,48.55,48.05,48.1,-0.4,868
2019-07-30,1574425,75819121,48.1,48.35,48.0,48.25,0.15,906
2019-07-31,2785929,134058524,48.25,48.4,47.9,48.0,-0.25,1300
2019-08-01,2505817,119127064,47.8,47.8,47.4,47.5,-0.5,1331
2019-08-02,3002200,141522678,47.3,47.6,46.9,47.5, 0.00,1460
2019-08-05,3967873,191403016,47.5,48.65,47.5,47.8,0.3,2305
2019-08-06,1938489,91804442,47.15,47.6,47.0,47.5,-0.3,1177
2019-08-07,1740739,82852522,47.9,47.9,47.4,47.55,0.05,1126
2019-08-08,1345901,63945135,47.55,47.75,47.4,47.4,-0.15,806
2019-08-12,3045874,145478764,47.5,47.95,47.4,47.75,0.35,1483
2019-08-13,2908599,137883458,47.75,47.75,47.3,47.35,-0.4,1203
2019-08-14,4626902,218077106,47.65,47.7,46.9,47.15,-0.2,2210
2019-08-15,2692015,126734059,47.0,47.3,47.0,47.2,0.05,786
2019-08-16,3749837,178302085,47.3,47.8,47.3,47.75,0.55,1485
2019-08-19,5808480,277655890,47.7,48.0,47.65,47.95,0.2,2125
2019-08-20,7732153,356561848,45.95,46.15,45.45,45.6,X0.00,2532
2019-08-21,2947218,133363488,45.6,45.65,45.1,45.1,-0.5,1758
2019-08-22,2299946,103372607,45.15,45.15,44.7,45.0,-0.1,1306
2019-08-23,1212202,54734290,45.0,45.35,44.95,45.15,0.15,696
2019-08-26,1280035,57602719,44.95,45.1,44.9,45.05,-0.1,712
2019-08-27,1574041,70875245,45.3,45.3,44.9,44.9,-0.15,788
2019-08-28,906334,40856323,44.9,45.3,44.9,45.25,0.35,493
2019-08-29,537702,24298408,45.25,45.25,45.15,45.15,-0.1,287
2019-08-30,1115969,50526326,45.2,45.4,45.15,45.4,0.25,689
2019-09-02,985590,45032540,45.35,45.85,45.35,45.8,0.4,612
2019-09-03,1730868,79368478,45.85,46.0,45.65,45.9,0.1,932
2019-09-04,1650008,75961515,45.9,46.2,45.85,46.15,0.25,886
2019-09-05,1103289,50896976,46.15,46.25,46.05,46.25,0.1,612
2019-09-06,917523,42366900,46.3,46.3,46.1,46.2,-0.05,554
2019-09-09,1209563,55735694,46.2,46.2,46.0,46.05,-0.15,577
2019-09-10,925568,42537305,46.0,46.05,45.9,45.95,-0.1,587
2019-09-11,1855486,84613777,45.3,45.8,45.3,45.7,-0.25,1192
2019-09-12,1132507,51693011,45.8,45.8,45.5,45.6,-0.1,652
2019-09-16,1711198,78601105,45.6,46.2,45.5,46.0,0.4,845
2019-09-17,768452,35364742,46.0,46.15,45.95,45.95,-0.05,463
2019-09-18,1206255,55575653,45.95,46.2,45.85,46.0,0.05,896
2019-09-19,852230,39089625,46.0,46.05,45.65,45.95,-0.05,440
2019-09-20,3021527,140093070,45.95,46.5,45.95,46.5,0.55,1327
2019-09-23,1681393,78347536,46.6,46.75,46.5,46.5, 0.00,774
2019-09-24,1447616,67147839,46.6,46.65,46.15,46.25,-0.25,842
2019-09-25,897960,41568336,46.2,46.5,46.15,46.25, 0.00,583
2019-09-26,1776291,81883986,46.3,46.45,45.85,45.85,-0.4,1071
2019-09-27,1775107,80977492,45.9,46.0,45.5,45.5,-0.35,1033
2019-10-01,2023848,91885734,45.6,45.8,45.25,45.3,-0.2,1520
2019-10-02,1714029,77352166,45.3,45.3,45.0,45.2,-0.1,972
2019-10-03,2323191,106503427,45.2,46.2,45.2,46.2,1.0,1390
2019-10-04,2561960,118863132,46.45,46.65,46.2,46.4,0.2,1269
2019-10-07,14597287,701390549,46.5,49.1,46.5,48.7,2.3,6746
2019-10-08,9639643,471806338,48.8,49.5,48.25,49.15,0.45,4841
2019-10-09,9574973,474055455,49.0,50.0,48.65,49.3,0.15,4940
2019-10-14,13210630,664635759,50.0,50.9,49.85,50.7,1.4,5636
2019-10-15,6476266,325997663,50.6,50.8,50.0,50.3,-0.4,3106
2019-10-16,12374607,628633175,50.3,51.3,49.8,51.0,0.7,5361
2019-10-17,7972024,400953700,50.8,51.2,49.85,50.0,-1.0,4460
2019-10-18,8809037,433396216,50.0,50.0,48.9,49.1,-0.9,4656
2019-10-21,5971033,295647334,49.25,49.9,49.25,49.65,0.55,3643
2019-10-22,5550116,273440060,49.9,50.1,49.0,49.15,-0.5,4202
2019-10-23,3440693,168218457,49.4,49.4,48.7,48.8,-0.35,2254
2019-10-24,2186972,107205960,48.9,49.3,48.9,49.15,0.35,1485
2019-10-25,1933977,94641463,49.2,49.35,48.8,48.9,-0.25,1112
2019-10-28,3504260,173276739,49.25,49.65,49.1,49.4,0.5,1555
2019-10-29,2371484,116403106,49.5,49.55,48.9,48.9,-0.5,1229
2019-10-30,2686155,131230995,48.9,49.05,48.65,48.85,-0.05,1287
2019-10-31,3313670,161623522,48.9,49.35,48.5,48.5,-0.35,1740
2019-11-01,1461737,71154313,48.6,48.85,48.5,48.75,0.25,759
2019-11-04,3358809,164512547,48.75,49.3,48.65,49.15,0.4,1822
2019-11-05,2886632,142221089,49.2,49.7,48.95,49.1,-0.05,1640
2019-11-06,2700960,131829887,49.0,49.1,48.6,48.65,-0.45,1455
2019-11-07,2138045,103736225,48.65,48.75,48.35,48.45,-0.2,1126
2019-11-08,2793037,134627223,48.45,48.45,48.05,48.1,-0.35,1340
2019-11-11,2279014,109913320,48.1,48.55,48.1,48.25,0.15,1176
2019-11-12,4222985,202957024,48.3,48.3,47.9,48.15,-0.1,1826
2019-11-13,5692018,270215800,47.8,47.8,47.2,47.55,-0.6,2740
2019-11-14,3955838,187547900,47.35,47.8,47.3,47.35,-0.2,1798
2019-11-15,3183763,151605041,47.4,47.9,47.3,47.7,0.35,1392
2019-11-18,2551484,121128106,47.65,47.75,47.3,47.5,-0.2,1289
2019-11-19,1789274,85125265,47.5,47.75,47.45,47.5, 0.00,1073
2019-11-20,1687930,80236615,47.5,47.6,47.5,47.5, 0.00,1041
2019-11-21,1733300,82211330,47.5,47.7,47.35,47.35,-0.15,969
2019-11-22,1367302,64806893,47.3,47.5,47.3,47.45,0.1,787
2019-11-25,3756242,181395946,47.8,48.5,47.7,48.25,0.8,2064
2019-11-26,3099702,149845144,48.5,48.65,48.05,48.45,0.2,1534
2019-11-27,1156914,55905927,48.45,48.5,48.2,48.3,-0.15,653
2019-11-28,1839314,89365832,48.35,48.75,48.3,48.65,0.35,1063
2019-11-29,1777838,86427673,48.75,48.9,48.2,48.5,-0.15,925
2019-12-02,2393998,115531848,48.5,48.7,48.05,48.2,-0.3,796
2019-12-03,1684300,80964499,48.1,48.3,47.95,48.2, 0.00,871
2019-12-04,1488963,72179650,48.2,48.65,48.15,48.5,0.3,852
2019-12-05,1369700,66171348,48.2,48.5,48.15,48.3,-0.2,788
2019-12-06,1863421,90238524,48.45,48.85,48.2,48.25,-0.05,911
2019-12-09,1737850,83488897,48.3,48.35,47.85,48.15,-0.1,849
2019-12-10,947724,45693978,48.1,48.25,48.1,48.2,0.05,422
2019-12-11,791457,38132774,48.2,48.45,48.1,48.15,-0.05,523
2019-12-12,1354883,65245466,48.3,48.3,48.1,48.1,-0.05,636
2019-12-13,2169273,105202838,48.3,48.75,48.1,48.55,0.45,1187
2019-12-16,1283464,62296635,48.6,48.7,48.45,48.5,-0.05,686
2019-12-17,1515583,73665763,48.5,48.7,48.5,48.7,0.2,830
2019-12-18,2508014,122882774,48.75,49.15,48.75,48.95,0.25,1509
2019-12-19,1129248,55260452,49.15,49.2,48.85,48.9,-0.05,723
2019-12-20,2270631,110557219,49.0,49.0,48.6,48.6,-0.3,993
2019-12-23,1628557,78971684,48.6,48.65,48.4,48.65,0.05,695
2019-12-24,934722,45390955,48.6,48.65,48.5,48.55,-0.1,464
2019-12-25,1223293,59457764,48.55,48.75,48.5,48.65,0.1,662
2019-12-26,2359377,115422423,48.85,49.0,48.8,48.95,0.3,1052
2019-12-27,5999987,297648794,49.1,49.75,49.1,49.7,0.75,2991
2019-12-30,7150907,360614249,49.95,51.0,49.9,50.3,0.6,3704
2019-12-31,5038144,250653375,50.1,50.1,49.55,49.55,-0.75,3360
2020-01-02,2542932,125940350,49.6,49.85,49.35,49.75,0.2,1352
2020-01-03,3303086,163317771,49.85,49.9,49.15,49.4,-0.35,1681
2020-01-06,2889644,141533782,49.2,49.4,48.85,49.0,-0.4,1332
2020-01-07,1638630,80061682,49.05,49.2,48.7,48.8,-0.2,962
2020-01-08,2793097,135221661,48.7,48.7,48.1,48.35,-0.45,1371
2020-01-09,1920701,92917376,48.5,48.7,48.2,48.35, 0.00,1004
2020-01-10,913246,44306226,48.35,48.7,48.35,48.5,0.15,577
2020-01-13,1132644,55126386,48.5,48.8,48.45,48.8,0.3,606
2020-01-14,2242400,110430921,49.0,49.65,48.85,49.05,0.25,1331
2020-01-15,1930621,94998437,49.2,49.5,49.0,49.1,0.05,1098
2020-01-16,995342,48735587,49.1,49.1,48.9,48.95,-0.15,596
2020-01-17,1033436,50600549,49.0,49.05,48.85,49.0,0.05,465
2020-01-20,2142024,104559676,49.0,49.0,48.7,48.8,-0.2,971
2020-01-30,7618388,360506625,47.2,47.85,47.1,47.15,-1.65,2958
2020-01-31,3272181,154994588,47.1,47.8,47.0,47.8,0.65,1678
2020-02-03,4436669,207446769,47.05,47.25,46.25,47.1,-0.7,2141
2020-02-04,1702452,80449585,46.95,47.45,46.9,47.35,0.25,784
2020-02-05,1570432,74421828,47.4,47.65,47.2,47.4,0.05,820
2020-02-06,2156118,102909527,47.75,48.0,47.45,47.95,0.55,984
2020-02-07,2752418,130388887,47.75,47.75,47.2,47.3,-0.65,1424
2020-02-10,1502622,70766754,47.15,47.25,46.9,47.2,-0.1,728
2020-02-11,1423053,67419715,47.0,47.55,47.0,47.35,0.15,663
2020-02-12,1747494,83607612,47.35,48.1,47.35,47.8,0.45,818
2020-02-13,1048646,50339612,47.95,48.15,47.9,47.95,0.15,695
2020-02-14,978252,46926437,47.95,48.1,47.9,48.0,0.05,718
2020-02-17,1315601,63158389,47.95,48.15,47.8,48.05,0.05,840
2020-02-18,2434830,118144549,48.1,48.8,48.0,48.7,0.65,1121
2020-02-19,2371816,116284143,48.8,49.25,48.8,48.95,0.25,1585
2020-02-20,1248818,60937271,49.0,49.1,48.55,48.95, 0.00,905
2020-02-21,1408086,68947638,48.9,49.05,48.75,48.9,-0.05,805
2020-02-24,2478640,120321348,48.8,48.85,48.4,48.7,-0.2,1267
2020-02-25,3725864,178831789,48.05,48.2,47.7,48.05,-0.65,1641
2020-02-26,2073167,99364495,47.95,48.1,47.6,48.05, 0.00,966
2020-02-27,2863826,137493926,48.0,48.3,47.85,48.0,-0.05,1160
2020-03-02,3222798,153482454,47.45,47.95,47.35,47.6,-0.4,1855
2020-03-03,2154920,103402987,47.9,48.4,47.8,48.05,0.45,832
2020-03-04,3040572,146816271,48.35,48.65,48.0,48.15,0.1,1461
2020-03-05,2786541,135321776,48.4,48.8,48.15,48.7,0.55,1381
2020-03-06,2773700,134298620,48.6,48.7,48.15,48.45,-0.25,1209
2020-03-09,2885418,137575306,48.05,48.05,47.45,47.55,-0.9,1613
2020-03-10,3472071,162909066,46.95,47.2,46.6,47.15,-0.4,1844
2020-03-11,2035500,95748419,47.35,47.45,46.6,46.75,-0.4,1096
2020-03-12,5357691,243102723,46.5,46.55,44.85,44.9,-1.85,2865
2020-03-13,16955062,700068904,42.2,42.2,40.9,41.25,-3.65,7081
2020-03-16,5175777,215555313,42.05,42.2,41.25,41.5,0.25,2637
2020-03-17,5041131,205360649,40.05,41.4,40.05,41.1,-0.4,2829
2020-03-18,5810362,241938802,40.95,42.25,40.95,42.0,0.9,2407
2020-03-19,9787955,400913429,41.05,41.6,40.55,41.0,-1.0,3474
2020-03-20,5183034,216832617,41.6,42.2,41.5,42.1,1.1,2331
2020-03-23,4548900,183343625,41.0,41.0,39.75,40.1,-2.0,2290
2020-03-24,3764987,154287639,40.65,41.2,40.6,40.75,0.65,1703
2020-03-25,5112819,212902582,41.9,42.0,41.25,41.45,0.7,2117
2020-03-26,2492257,103747483,41.65,41.95,41.2,41.6,0.15,1182
2020-03-27,4269293,179117956,42.3,42.4,41.65,41.7,0.1,1837
2020-03-30,2895016,119010603,41.3,41.5,40.85,41.35,-0.35,1573
2020-03-31,2037848,84826904,41.7,41.85,41.4,41.8,0.45,1198
2020-04-01,2340405,97164020,41.65,41.75,41.35,41.6,-0.2,1194
2020-04-06,3344410,138430749,41.5,41.75,41.0,41.7,0.1,1643
2020-04-07,2230891,94064326,42.2,42.5,41.95,42.1,0.4,1402
2020-04-08,4465726,191007888,42.1,43.3,42.0,42.9,0.8,2083
2020-04-09,3923077,168088312,43.2,43.25,42.3,42.95,0.05,1880
2020-04-10,6782651,295488244,42.95,44.0,42.9,43.8,0.85,2841
2020-04-13,3333844,146072286,43.8,44.05,43.3,43.9,0.1,1513
2020-04-14,3207814,142716406,43.95,44.7,43.95,44.65,0.75,1545
2020-04-15,4324322,195637190,44.9,45.55,44.85,45.4,0.75,2250
2020-04-16,2616315,118264538,45.4,45.45,44.9,45.2,-0.2,1502
2020-04-17,3757413,170053028,45.6,45.75,44.65,45.15,-0.05,2139
2020-04-20,2136631,96695173,45.15,45.4,45.1,45.25,0.1,1172
2020-04-21,4662740,208211950,45.2,45.2,44.0,44.55,-0.7,2182
2020-04-22,1972846,86913986,43.8,44.35,43.65,44.25,-0.3,1074
2020-04-23,1543102,68496399,44.3,44.7,43.95,44.45,0.2,787
2020-04-24,1155391,51473913,44.35,44.7,44.25,44.65,0.2,533
2020-04-27,2430642,110135265,44.75,45.6,44.75,45.45,0.8,1005
2020-04-28,1504312,68460168,45.5,45.7,45.4,45.5,0.05,772
2020-04-29,2458662,112551452,45.5,46.0,45.4,45.85,0.35,1263
2020-04-30,3048051,140935948,46.0,46.4,46.0,46.1,0.25,1629
2020-05-04,2312137,105611014,45.6,45.95,45.45,45.6,-0.5,1158
2020-05-05,2149530,99456963,45.8,46.6,45.8,46.45,0.85,1224
2020-05-06,2285681,106143028,46.5,46.7,46.2,46.3,-0.15,1066
2020-05-07,1799099,83584131,46.3,46.65,46.2,46.4,0.1,1127
2020-05-08,3789715,177667044,46.75,47.05,46.55,47.05,0.65,1894
2020-05-11,4227484,202591123,47.85,48.15,47.5,47.8,0.75,2444
2020-05-12,5033824,242199492,47.8,48.45,47.45,48.1,0.3,2410
2020-05-13,6496541,317221443,48.05,49.45,47.85,49.25,1.15,3726
2020-05-14,7505789,371374316,49.25,50.0,48.9,49.05,-0.2,4495
2020-05-15,3846592,188741608,49.45,49.8,48.45,48.95,-0.1,2294
2020-05-18,2650427,130228709,49.0,49.4,48.95,49.0,0.05,1324
2020-05-19,3630685,178001265,49.3,49.4,48.5,49.0, 0.00,1469
2020-05-20,1831549,89714551,49.1,49.2,48.8,48.85,-0.15,1173
2020-05-21,2256486,111315574,49.0,49.45,48.95,49.45,0.6,1233
2020-05-22,2125743,104441950,49.4,49.45,48.85,48.9,-0.55,1141
2020-05-25,1751710,85670622,49.2,49.2,48.55,49.0,0.1,1021
2020-05-26,1917227,94357859,49.1,49.3,48.9,49.1,0.1,1084
2020-05-27,1752398,86306204,49.3,49.5,49.05,49.25,0.15,980
2020-05-28,2160322,106367317,49.4,49.45,49.0,49.0,-0.25,1022
2020-05-29,1712985,83959561,49.0,49.2,48.9,48.9,-0.1,847
