日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2018-01-03,424317,5725421,13.5,13.6,13.45,13.5,0.0,170
2018-01-04,363846,4905262,13.6,13.6,13.45,13.5,0.0,150
2018-01-05,585997,7888149,13.55,13.55,13.4,13.5,0.0,181
2018-01-08,4746482,66091448,13.55,14.3,13.5,14.0,0.5,1393
2018-01-09,850527,11851341,14.05,14.1,13.8,14.0,0.0,354
2018-01-10,638663,8846539,14.0,14.0,13.8,13.8,-0.2,344
2018-01-11,462375,6377598,13.8,13.9,13.75,13.8,0.0,221
2018-01-12,670189,9322498,13.85,14.0,13.8,13.95,0.15,266
2018-01-15,349752,4874951,14.0,14.0,13.85,13.9,-0.05,181
2018-01-16,469665,6537175,13.9,14.0,13.85,13.9,0.0,216
2018-01-17,466779,6459478,13.85,13.95,13.8,13.9,0.0,264
2018-01-18,529788,7353058,13.9,14.0,13.8,13.85,-0.05,237
2018-01-19,463192,6377805,13.9,13.9,13.7,13.75,-0.1,206
2018-01-22,938956,12752350,13.75,13.75,13.5,13.5,-0.25,349
2018-01-23,520269,7059985,13.55,13.65,13.5,13.65,0.15,197
2018-01-24,587550,7967328,13.6,13.65,13.5,13.6,-0.05,228
2018-01-25,392399,5367677,13.6,13.75,13.6,13.75,0.15,172
2018-01-26,260441,3559207,13.7,13.75,13.6,13.75,0.0,104
2018-01-29,177118,2420193,13.75,13.75,13.6,13.65,-0.1,84
2018-01-30,499378,6762696,13.65,13.65,13.45,13.5,-0.15,160
2018-01-31,508708,6828427,13.45,13.5,13.35,13.45,-0.05,179
2018-02-01,391841,5236376,13.5,13.55,13.25,13.4,-0.05,160
2018-02-02,193030,2581243,13.4,13.45,13.35,13.35,-0.05,124
2018-02-05,422690,5570191,13.2,13.25,13.1,13.2,-0.15,192
2018-02-06,1087230,13875063,13.1,13.1,12.55,12.6,-0.6,402
2018-02-07,644042,8223973,12.75,12.9,12.65,12.7,0.1,225
2018-02-08,313460,3970314,12.7,12.75,12.6,12.6,-0.1,131
2018-02-09,817641,10162541,12.5,12.6,12.3,12.5,-0.1,205
2018-02-12,381238,4800228,12.6,12.65,12.5,12.55,0.05,155
2018-02-21,519943,6595662,12.65,12.8,12.65,12.75,0.2,221
2018-02-22,522587,6656055,12.75,12.8,12.65,12.8,0.05,231
2018-02-23,420236,5427685,12.8,13.0,12.8,12.95,0.15,219
2018-02-26,507573,6644820,13.05,13.15,13.0,13.1,0.15,254
2018-02-27,452313,5907819,13.1,13.15,13.0,13.0,-0.1,168
2018-03-01,139527,1806901,12.95,13.0,12.9,13.0,0.0,99
2018-03-02,341003,4416815,13.0,13.05,12.9,12.9,-0.1,141
2018-03-05,148741,1921869,12.9,13.0,12.9,12.95,0.05,150
2018-03-06,139482,1808800,13.05,13.05,12.9,12.95,0.0,104
2018-03-07,194599,2521113,12.95,13.0,12.9,12.95,0.0,102
2018-03-08,174716,2269561,12.95,13.05,12.95,13.05,0.1,121
2018-03-09,317913,4125112,13.05,13.05,12.9,12.95,-0.1,155
2018-03-12,2061804,27165351,13.05,13.35,12.9,13.25,0.3,517
2018-03-13,367090,4843266,13.25,13.3,13.1,13.2,-0.05,220
2018-03-14,256364,3373113,13.2,13.25,13.05,13.2,0.0,141
2018-03-15,203374,2677494,13.2,13.25,13.1,13.2,0.0,103
2018-03-16,625043,8159376,13.2,13.2,13.0,13.0,-0.2,232
2018-03-19,272099,3552587,13.0,13.15,13.0,13.05,0.05,150
2018-03-20,468328,6070606,13.0,13.05,12.9,12.95,-0.1,221
2018-03-21,335859,4347755,13.0,13.05,12.9,12.9,-0.05,212
2018-03-22,508250,6554394,12.95,13.0,12.85,12.9,0.0,249
2018-03-23,527363,6718316,12.8,12.85,12.7,12.75,-0.15,197
2018-03-26,530585,6721925,12.7,12.75,12.6,12.7,-0.05,254
2018-03-27,367461,4709869,12.8,12.95,12.75,12.75,0.05,183
2018-03-28,294988,3753870,12.75,12.8,12.7,12.75,0.0,355
2018-03-29,592568,7543592,12.75,12.85,12.7,12.7,-0.05,228
2018-03-30,218482,2778878,12.75,12.75,12.7,12.7,0.0,206
2018-03-31,285212,3630812,12.75,12.8,12.7,12.75,0.05,201
2018-04-02,1176345,15245985,12.75,13.15,12.75,13.05,0.3,427
2018-04-03,558319,7264997,13.05,13.05,12.9,13.05,0.0,323
2018-04-09,446229,5763173,13.0,13.0,12.9,12.95,-0.1,308
2018-04-10,364950,4730000,12.95,13.05,12.9,13.0,0.05,257
2018-04-11,698057,9077141,13.0,13.05,12.9,13.0,0.0,312
2018-04-12,341389,4438082,13.0,13.1,12.95,12.95,-0.05,301
2018-04-13,227236,2939417,12.95,13.0,12.9,12.9,-0.05,121
2018-04-16,396004,5104138,12.9,12.95,12.85,12.85,-0.05,152
2018-04-17,666368,8513121,12.9,12.9,12.7,12.75,-0.1,258
2018-04-18,407855,5182706,12.8,12.85,12.6,12.7,-0.05,164
2018-04-19,244112,3105360,12.75,12.8,12.65,12.7,0.0,142
2018-04-20,209714,2665076,12.7,12.8,12.65,12.7,0.0,117
2018-04-23,237827,3019720,12.7,12.8,12.65,12.75,0.05,172
2018-04-24,6538450,85390491,12.7,13.4,12.6,13.1,0.35,1238
2018-04-25,1022491,13270852,13.05,13.1,12.9,13.0,-0.1,354
2018-04-26,838416,10895418,13.0,13.1,12.9,12.9,-0.1,233
2018-04-27,700114,9020348,12.9,13.0,12.8,12.85,-0.05,213
2018-04-30,546692,7033168,12.9,13.0,12.8,12.95,0.1,270
2018-05-02,461059,5919843,12.9,12.9,12.8,12.9,-0.05,152
2018-05-03,265628,3410251,12.9,12.95,12.8,12.8,-0.1,94
2018-05-04,358780,4588885,12.8,12.85,12.75,12.85,0.05,153
2018-05-07,280480,3604813,12.85,12.9,12.8,12.8,-0.05,126
2018-05-08,207335,2661224,12.8,12.9,12.8,12.85,0.05,104
2018-05-09,246058,3157384,12.8,12.9,12.8,12.9,0.05,113
2018-05-10,291805,3746989,12.9,12.9,12.8,12.9,0.0,161
2018-05-11,617440,7879551,12.9,12.9,12.65,12.85,-0.05,191
2018-05-14,247019,3153381,12.85,12.85,12.7,12.75,-0.1,138
2018-05-15,1133253,14233616,12.6,12.6,12.5,12.55,-0.2,321
2018-05-16,481984,6027246,12.55,12.55,12.45,12.5,-0.05,173
2018-05-17,288241,3605459,12.55,12.6,12.45,12.55,0.05,122
2018-05-18,499083,6235627,12.6,12.6,12.45,12.55,0.0,235
2018-05-21,238962,3006369,12.55,12.65,12.55,12.55,0.0,121
2018-05-22,418981,5281453,12.6,12.65,12.55,12.55,0.0,125
2018-05-23,598005,7460355,12.55,12.6,12.4,12.45,-0.1,267
2018-05-24,279094,3475609,12.45,12.5,12.4,12.5,0.05,212
2018-05-25,380218,4724545,12.45,12.5,12.4,12.5,0.0,151
2018-05-28,118984,1485746,12.55,12.55,12.45,12.45,-0.05,67
2018-05-29,625928,7766894,12.45,12.5,12.35,12.45,0.0,251
2018-05-30,522118,6428790,12.35,12.4,12.25,12.3,-0.15,229
2018-05-31,595091,7346161,12.35,12.4,12.25,12.4,0.1,277
2018-06-01,871223,11032016,12.4,12.8,12.35,12.75,0.35,393
2018-06-04,620811,7906754,12.85,12.85,12.6,12.7,-0.05,221
2018-06-05,263226,3323476,12.7,12.75,12.55,12.65,-0.05,140
2018-06-06,304937,3846603,12.65,12.7,12.55,12.65,0.0,154
2018-06-07,455656,5779759,12.7,12.75,12.6,12.65,0.0,195
2018-06-08,266894,3352819,12.65,12.65,12.5,12.55,-0.1,135
2018-06-11,227689,2846774,12.55,12.55,12.45,12.5,-0.05,110
2018-06-12,193462,2435863,12.6,12.65,12.5,12.6,0.1,115
2018-06-13,494518,6179792,12.6,12.65,12.4,12.5,-0.1,237
2018-06-14,403294,5009540,12.45,12.5,12.35,12.4,-0.1,190
2018-06-15,830462,10472515,12.5,12.7,12.5,12.65,0.25,236
2018-06-19,285957,3581806,12.65,12.65,12.5,12.5,-0.15,176
2018-06-20,332994,4137968,12.45,12.5,12.35,12.5,0.0,123
2018-06-21,378806,4697845,12.4,12.45,12.35,12.4,-0.1,153
2018-06-22,315345,3894153,12.35,12.45,12.3,12.4,0.0,132
2018-06-25,269395,3320336,12.4,12.4,12.25,12.3,-0.1,113
2018-06-26,358530,4385114,12.3,12.35,12.15,12.25,-0.05,143
2018-06-27,131194,1605623,12.25,12.3,12.2,12.25,0.0,79
2018-06-28,288443,3540600,12.2,12.4,12.2,12.3,0.05,140
2018-06-29,428064,5264680,12.3,12.4,12.25,12.3,0.0,127
2018-07-02,183091,2250057,12.2,12.35,12.2,12.3,0.0,87
2018-07-03,459136,5624497,12.3,12.35,12.15,12.2,-0.1,126
2018-07-04,184609,2246565,12.2,12.25,12.1,12.15,-0.05,94
2018-07-05,327675,3970700,12.25,12.25,12.05,12.1,-0.05,130
2018-07-06,528822,6342164,12.15,12.15,11.9,12.0,-0.1,191
2018-07-09,423747,5115248,12.05,12.3,11.95,12.1,0.1,213
2018-07-10,380501,4632860,12.25,12.25,12.1,12.1,0.0,172
2018-07-11,127339,1542551,12.1,12.2,12.05,12.15,0.05,65
2018-07-12,150309,1821602,12.1,12.2,12.1,12.2,0.05,56
2018-07-13,110580,1349073,12.25,12.25,12.15,12.2,0.0,65
2018-07-16,290529,3549876,12.25,12.3,12.15,12.25,0.05,168
2018-07-17,214437,2627277,12.25,12.3,12.2,12.25,0.0,88
2018-07-18,370261,4508281,12.25,12.25,12.05,12.2,-0.05,164
2018-07-19,254011,3086730,12.15,12.2,12.1,12.15,-0.05,108
2018-07-20,275991,3350687,12.15,12.2,12.1,12.15,0.0,78
2018-07-23,267089,3235169,12.25,12.25,12.1,12.1,-0.05,105
2018-07-24,118323,1431926,12.1,12.15,12.1,12.1,0.0,66
