日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2013-01-02,8683777,149317915,17.15,17.35,17.05,17.2,0.2,2332
2013-01-03,13259919,229432162,17.35,17.4,17.15,17.4,0.2,2722
2013-01-04,17169294,301789351,17.45,17.7,17.3,17.65,0.25,3939
2013-01-07,12970294,229252413,17.7,17.75,17.5,17.7,0.05,2544
2013-01-08,12210797,215331616,17.7,17.75,17.55,17.7, 0.00,2346
2013-01-09,15278921,271831281,17.65,17.9,17.6,17.7, 0.00,2838
2013-01-10,32633776,594588959,17.8,18.45,17.75,18.35,0.65,7306
2013-01-11,33003623,617689964,18.5,18.85,18.5,18.75,0.4,6150
2013-01-14,11557793,215566367,18.8,18.8,18.5,18.75, 0.00,2926
2013-01-15,9698466,179675708,18.7,18.8,18.3,18.4,-0.35,2711
2013-01-16,11910882,219332930,18.4,18.6,18.25,18.35,-0.05,3112
2013-01-17,18503472,339630411,18.4,18.8,17.8,17.85,-0.5,4617
2013-01-18,9364332,169811574,18.0,18.3,17.9,18.2,0.35,2258
2013-01-21,9408366,172938063,18.3,18.5,18.1,18.4,0.2,2097
2013-01-22,5298527,97082500,18.5,18.5,18.2,18.2,-0.2,1779
2013-01-23,5125131,93680861,18.35,18.35,18.2,18.25,0.05,1475
2013-01-24,5047349,91133332,18.25,18.25,17.9,17.9,-0.35,1555
2013-01-25,6835879,123842839,18.0,18.25,17.95,18.15,0.25,1992
2013-01-28,24499843,458173298,18.25,18.95,18.2,18.95,0.8,5148
2013-01-29,30143534,576695586,19.0,19.25,18.8,19.2,0.25,6250
2013-01-30,17897076,339506300,19.2,19.35,18.75,18.75,-0.45,4521
2013-01-31,8098657,153042447,19.0,19.0,18.8,18.9,0.15,1820
2013-02-01,5183350,97748011,19.0,19.0,18.75,18.85,-0.05,1739
2013-02-04,6631096,125170129,19.0,19.0,18.8,18.85, 0.00,1819
2013-02-05,11912769,219848317,18.8,18.8,18.25,18.35,-0.5,3313
2013-02-06,10853771,199236812,18.4,18.6,18.25,18.3,-0.05,2216
2013-02-18,14823714,265349486,18.4,18.4,17.75,17.75,-0.55,3630
2013-02-19,8249329,148444882,17.75,18.1,17.75,18.05,0.3,2375
2013-02-20,21967915,404160801,18.15,18.55,18.1,18.55,0.5,3663
2013-02-21,23096746,425538703,18.35,18.6,18.1,18.5,-0.05,3238
2013-02-22,14966208,278599035,18.5,18.75,18.35,18.6,0.1,2760
2013-02-23,15303037,287260063,18.75,18.9,18.6,18.8,0.2,2163
2013-02-25,16475516,310612932,18.7,19.0,18.5,18.9,0.1,3467
2013-02-26,13088812,245203249,18.5,18.9,18.45,18.65,-0.25,2316
2013-02-27,9643673,180646712,18.75,18.8,18.6,18.65, 0.00,1599
2013-03-01,9174179,171874122,18.7,18.85,18.65,18.75,0.1,1606
